source_table_index,S. No.,Recognition Number,Company Name,Company Address,Name & Address of the Company,Location of recognized In-House R&D Units,Valid Upto
133,1049.,TU/IV-RD/3820,Mylan Pharmaceuticals Pvt.,"Ltd. Plot No. 564/A/22, Road No. 92, Jubilee Hills, Hyderabad-500 096, Telangana","Mylan Pharmaceuticals Pvt. Ltd. Plot No. 564/A/22, Road No. 92, Jubilee Hills, Hyderabad-500 096, Telangana","Global Biologics R&D Centre, 2nd Floor, Building No. 450, MN Science & Technology Park, Genome Valley,Shameerpet Mandal, Turkapally Village, Medchal District,Hyderabad,Telangana",31.03.2025
133,1050.,TU/IV-RD/3821,Sapala Organics Pvt.,"Ltd. Plot Nos. 146B & 147, IDA Mallapur, Phase-II,Hyderabad-500076, Telangana","Sapala Organics Pvt. Ltd. Plot Nos. 146B & 147, IDA Mallapur, Phase-II,Hyderabad-500076, Telangana","Plot Nos. 146B & 147, IDA Mallapur,Phase-II, Hyderabad, Telangana",31.03.2026
136,1076.,TU/IV-RD/3872,Delta Agrigenetics Pvt.,"Ltd. Plot No. 99 & 100, Green Park Avenue, NH7 Road, Jeedimetla Village, Hyderabad - 500 067(Telangana)","Delta Agrigenetics Pvt. Ltd. Plot No. 99 & 100, Green Park Avenue, NH7 Road, Jeedimetla Village, Hyderabad - 500 067(Telangana)","Plot No. 99 & 100, Green Park Avenue, NH7 Road, JeedimetlaVillage, Hyderabad, (Telangana)",31.03.2027
136,1079.,TU/IV-RD/3880,Eesavyasa TechnologiesPvt.,"Ltd. Shed No.79, Phase III, SVCIE,Balanagar, Hyderabad-500037,Telangana","Eesavyasa TechnologiesPvt. Ltd. Shed No.79, Phase III, SVCIE,Balanagar, Hyderabad-500037,Telangana","Shed No. 79, Phase III, SVCIE,Balanagar, Hyderabad, Telangana",31.03.2026
137,1083.,TU/IV-RD/3897,ClearsynthLabsLtd.,"Shed No. 23, Survey NO.125 Part, Road No. 14, Phase-1,IDAMallapur, Medchal-Malkajgiri District, Hyderabad - 500076 (Telangana)","ClearsynthLabsLtd.Shed No. 23, Survey NO.125 Part, Road No. 14, Phase-1,IDAMallapur, Medchal-Malkajgiri District, Hyderabad - 500076 (Telangana)","Shed No. 23, Survey NO.125 Part, Road No. 14, Phase-1, IDA Mallapur, Medchal-Malkajgiri District, Hyderabad (Telangana)",31.03.2027
137,1086.,TU/IV-RD/3900,EugiaPharma Specialities Ltd.,"Galaxy Tower, Floors 22-24, Plot No. 1, Survey No. 83/1, Hyderabad Knowldege City, Raidurg Panmaktha, Ranga Reddy District, Hyderabad - 500 081,(Telangana)","EugiaPharma Specialities Ltd. Galaxy Tower, Floors 22-24, Plot No. 1, Survey No. 83/1, Hyderabad Knowldege City, Raidurg Panmaktha, Ranga Reddy District, Hyderabad - 500 081,(Telangana)","Eugia Pharma Research Centre, S. No. 550, 551,552, Kolthur (V), Shameerpet (M), Medchal-MalkajgiriDistrict, (Telangana)",31.03.2027
139,1095.,TU/IV-RD/3922,Hetero Labs Ltd.,"Hetero Corporate,7-2-A2 Industrial Estate, Sanath Nagar Hyderabad – 500 018, (Telangana)","Hetero Labs Ltd. Hetero Corporate,7-2-A2 Industrial Estate, Sanath Nagar Hyderabad – 500 018, (Telangana)","(i) Sy No. 119, 119/1,2,3,124 & 126 Nelladonda, Narasapuram Village Nakkapalli, Visakhapatnam (AP) (ii) 22-110, Industrial DevelopmentArea, Jeedimetla, Hyderabad, (Telangana) (iii) Plot No. 16, IndustrialEstate, Gandhinagar, Hyderabad, (Telangana)(iv) Formulation R&D, Plot No. 14, Sy No. 50, Phase III, IDAJeedimetla, Qutubullapur (M), Medchal Dist., Hyderabad and (v) Sy. No. 180/14 & 180/15,Kazipally, Jinnaram Mandal, SangareddyDistrict,(Telangana)",31.03.2027
139,1098.,TU/IV-RD/3930,Nucon Aerospace Pvt.,"Ltd. 1st Floor, Plot No. 708/709, Matrusri Nagar, Miyapur, Hyderabad –500 049, (Telangana)","Nucon Aerospace Pvt. Ltd. 1st Floor, Plot No. 708/709, Matrusri Nagar, Miyapur, Hyderabad –500 049, (Telangana)","1st Floor, Plot No. 708/709, Matrusri Nagar, Miyapur, Hyderabad (Telangana)",31.03.2027
140,1108.,TU/IV-RD/3952,GeneSys Biologics Pvt.,"Ltd. Plot No. 9A, Sy. No. 101, Biotech Park, PhaseII (Extn), Lalgadi Malakpet, Shamirpet, Ranga Reddy District -500 078, (Telangana)","GeneSys Biologics Pvt. Ltd. Plot No. 9A, Sy. No. 101, Biotech Park, PhaseII (Extn), Lalgadi Malakpet, Shamirpet, Ranga Reddy District -500 078, (Telangana)","Plot No. 9A, Sy. No.101, Biotech Park,Phase II (Extn), Lalgadi, Malakpet, Shamirpet, Ranga Reddy District (Telangana)",31.03.2027
142,1120.,TU/IV-RD/3979,Star Agrotech Pvt.,"Ltd. D-38, 2nd Floor, Bharani Complex, Minister Road, Secunderabad - 500 003Telangana.","Star Agrotech Pvt. Ltd. D-38, 2nd Floor, Bharani Complex, Minister Road, Secunderabad - 500 003Telangana.","Sy. No. 66/1 & 68/A, Dabilpur Village, Medchal Mandal, Medchal Dist. Telangana",31.03.2026
143,1127.,TU/IV-RD/3992,Sun Crop Sciences Pvt.,"Ltd.G3, SHR Apex, GangaEnclave Petbasheerabad, QuthbullapurMandal Hyderabad-500055(Telangana)","Sun Crop Sciences Pvt. Ltd.G3, SHR Apex, GangaEnclave Petbasheerabad, QuthbullapurMandal Hyderabad-500055(Telangana)","Muneerabad(Village), Medchal (Mandal), Medchal (District), Telangana",31.03.2028
144,1135.,TU/IV-RD/4004,Emnar Pharma Pvt.,"Ltd. Plot No. A-4, Industrial Estate, Sanath Nagar, Opp. Sanath Nagar Police Station, Hyderabad – 500018 (Telangana)","Emnar Pharma Pvt. Ltd. Plot No. A-4, Industrial Estate, Sanath Nagar, Opp. Sanath Nagar Police Station, Hyderabad – 500018 (Telangana)","Plot No. A-4, Industrial Estate, Sanath Nagar, Opp. Sanath Nagar Police Station,Hyderabad, (Telangana)",31.03.2028
147,1160.,TU/IV-RD/4061,Mahindra Agri Solutions Ltd.,"GMR Complex, 5-225/1/A, FirstFloor, Gundlapochampally, ManikaReddyColony, Kompally,Hyderabad–500 100 (Telangana)","Mahindra Agri Solutions Ltd. GMR Complex, 5-225/1/A, FirstFloor, Gundlapochampally, ManikaReddyColony, Kompally,Hyderabad–500 100 (Telangana)","#10-02/2, Asulampally Road, Mulugu (Village & Mandal), Medak District (Telangana)",31.03.2026
147,1161.,TU/IV-RD/4067,Optimus Pharma Pvt.,"Ltd. Sy. No. 37/A & 37/P, Plot No. 6P, 2nd Floor, SignatureTowers, Kothaguda, Kondapur, Hyderabad – 500 084(Telangana)","Optimus Pharma Pvt. Ltd. Sy. No. 37/A & 37/P, Plot No. 6P, 2nd Floor, SignatureTowers, Kothaguda, Kondapur, Hyderabad – 500 084(Telangana)","PlotNo.73/B,EPIP,Pashamylaram, SangareddyDistrict (Telanana)",31.03.2025
147,1163.,TU/IV-RD/4070,Vanamali Organics Pvt.,"Ltd. Plot No. 24A & 24B, TSIIC, Survey No. 480, IDAMankhal,Maheshwaram Mandal, Ranga Reddy District, Hyderabad – 501 359,(Telangana)","Vanamali Organics Pvt. Ltd. Plot No. 24A & 24B, TSIIC, Survey No. 480, IDAMankhal,Maheshwaram Mandal, Ranga Reddy District, Hyderabad – 501 359,(Telangana)","Plot No. 24A & 24B, TSIIC,Survey No. 480, IDA Mankhal, Maheshwaram Mandal, Ranga Reddy District,Hyderabad (Telangana)",31.03.2028
148,1172.,TU/IV-RD/4088,Cygni Energy Pvt.,"Ltd. Lansum House, Plot No. 283 Road No. 78, JubileeHills Hyderabad – 500 033 (Telangana)","Cygni Energy Pvt. Ltd. Lansum House, Plot No. 283 Road No. 78, JubileeHills Hyderabad – 500 033 (Telangana)","4th Floor, Lansum House, Plot No 283, Road No. 78, Jubilee Hills, Hyderabad, Telangana",31.03.2025
150,1190.,TU/IV-RD/4116,Tran-Scell Biologics Pvt.,"Ltd. 8th Floor, Western Pearl, Hitech City Road, Kondapur, Hyderabad-500 084Telangana","Tran-Scell Biologics Pvt. Ltd. 8th Floor, Western Pearl, Hitech City Road, Kondapur, Hyderabad-500 084Telangana","Plot No. 64, Road No. 05, ALEAPIndustrialEstate, PragathiNagarRoad, Gajularamaram, Hyderabad, Telangana",31.03.2025
151,1192.,TU/IV-RD/4121,Pioneer Hi-Bred Pvt.,"Ltd. V-Ascendas, Atria Block, 12th Floor, Plot No. 17, Software Unit Layout, Madhapur, Hyderabad –500 081, (Telangana)","Pioneer Hi-Bred Pvt. Ltd. V-Ascendas, Atria Block, 12th Floor, Plot No. 17, Software Unit Layout, Madhapur, Hyderabad –500 081, (Telangana)","Multi Crop Research Centre, Survey No. 383-385, Tunki Kalsa Village and Post, Wargal Mandal, Medak District, Hyderabad,(Telangana)",31.03.2028
151,1193.,TU/IV-RD/4124,East Coast Magnets Pvt.,"Ltd. 44/1/6, Phase – 1, I.D.A.,Jeedimetla,Hyderabad – 500 055, (Telangana)","East Coast Magnets Pvt. Ltd. 44/1/6, Phase – 1, I.D.A.,Jeedimetla,Hyderabad – 500 055, (Telangana)","44/1/6,Phase-1,I.D.A.,Jeedimetla,Hyderabad, (Telangana)",31.03.2028
152,1208.,TU/IV-RD/4142,NeuheitPharma Technologies Pvt.,"Ltd.P. No. 43 & 44, ALEAPIndustrial Estate, Behind PragathiNagar, Kukatpally, Hyderabad-500 072, Telangana","NeuheitPharma Technologies Pvt. Ltd.P. No. 43 & 44, ALEAPIndustrial Estate, Behind PragathiNagar, Kukatpally, Hyderabad-500 072, Telangana","P. No. 43 & 44 ALEAPIndustrial Estate, Behind Pragathi Nagar, Kukatpally, Hyderabad, Telangana",31.03.2025
155,1231.,TU/IV-RD/4185,"Sarvotham Care Ltd, 6-197/1, Jeedimetla (V), Quthbullapur(M), Hyderabad – 500 067,Telangana",,"Sarvotham Care Ltd, 6-197/1, Jeedimetla (V), Quthbullapur(M), Hyderabad – 500 067,Telangana","6-197/1, Jeedimetla (V), Quthbullapur(M), Hyderabad, Telangana",31.03.2026
157,1251.,TU/IV-RD/4221,Almelo Pvt.,"Ltd., Plot Nos. A-38 & 39, Road No. 7, IDA Kukatpally,Hyderabad – 500 037, Telangana","Almelo Pvt. Ltd., Plot Nos. A-38 & 39, Road No. 7, IDA Kukatpally,Hyderabad – 500 037, Telangana","Plot Nos. A-38 & 39, Road No.7, IDA Kukatpally, Hyderabad, Telangana",31.03.2026
157,1254.,TU/IV-RD/4224,BiophoreIndia Pharmaceuticals Pvt.,"Ltd. Plot No. 92,1-98/2/92, Kavuri Hills – Phase-II, Jubilee HillsHyderabad - 500 033, Telangana","BiophoreIndia Pharmaceuticals Pvt. Ltd. Plot No. 92,1-98/2/92, Kavuri Hills – Phase-II, Jubilee HillsHyderabad - 500 033, Telangana","Pot No 231, IDA Phase-II, Pashamylaram, Isnapur Village, Patancheru Mandal, Sanga Reddy, Medak, Telangana",31.03.2026
159,1265.,TU/IV-RD/4244,Simson Life Sciences Pvt.,"Ltd. Shed No. 6A, TSIIC, Type – IIIPrashanthNagar, Kukatpally Hyderabad –500 072 Telangana","Simson Life Sciences Pvt. Ltd. Shed No. 6A, TSIIC, Type – IIIPrashanthNagar, Kukatpally Hyderabad –500 072 Telangana","Formulation and Analytical R&D, I and IInd Floor, Shed No. 6A, Type – III, TSIIC,PrashanthNagar,IE, Kukatpally,Hyderabad,Telangana",31.03.2026
159,1272.,TU/IV-RD/4255,Trikona PharmaceuticalsPvt.,"Ltd.6 - B, Type – 1, Prashanthi Nagar TSIIC IndustrialEstate, Kukatpally Hyderabad –500 072 (Telangana)","Trikona PharmaceuticalsPvt. Ltd.6 - B, Type – 1, Prashanthi Nagar TSIIC IndustrialEstate, Kukatpally Hyderabad –500 072 (Telangana)","6-B, Type-1, Prashanthi Nagar,, TSIIC Industrial Estate,Kukatpally, Hyderabad, Telangana",31.03.2026
160,1277.,TU/IV-RD/4270,"Honour Lab Ltd, H.","No. 8-3-166/7/1, Erragadda Hyderabad – 500 018Telangana","Honour Lab Ltd, H. No. 8-3-166/7/1, Erragadda Hyderabad – 500 018Telangana","Sy. No. 219, Bonthapally Village,GummadidalaMandal,Sangareddy District, Telangana",31.03.2026
160,1282.,TU/IV-RD/4277,Aditya Agri Tech Pvt.,"Ltd. Flat No. 302, 3rd Floor Minerva Complex, SD Road, Secunderabad– 500 003 (Telangana)","Aditya Agri Tech Pvt. Ltd. Flat No. 302, 3rd Floor Minerva Complex, SD Road, Secunderabad– 500 003 (Telangana)","Sy.No.325,326,KodakandlaVillage,JagadevpurMandal, Siddipet Dist., (Telangana)",31.03.2026
160,1283.,TU/IV-RD/4279,Fertis India Pvt.,"Ltd. 6-3-668/10/56, Plot No 56 1st Floor, Durga Nagar Colony,Punjagutta, Hyderabad – 500 082Telangana","Fertis India Pvt. Ltd. 6-3-668/10/56, Plot No 56 1st Floor, Durga Nagar Colony,Punjagutta, Hyderabad – 500 082Telangana","Plot No. 79, IDA Phase II, Survey No. 3, Cherlapally, Hyderabad, Telangana",31.03.2026
161,1290.,TU/IV-RD/4296,ScieGen PharmaceuticalsIndia Pvt.,"Ltd. Plot No. 70 & 71, Ground Floor ALEAP IndustrialEstate, Pragathinagar Hyderabad– 500 090 Telangana","ScieGen PharmaceuticalsIndia Pvt. Ltd. Plot No. 70 & 71, Ground Floor ALEAP IndustrialEstate, Pragathinagar Hyderabad– 500 090 Telangana","Plot No. 70 & 71, Ground Floor, ALEAP Industrial Estate, Pragathinagar, Hyderabad, Telangana",31.03.2026
161,1292.,TU/IV-RD/4302,Sanzyme Biologics Pvt.,"Ltd. Plot No. 13, Sagar Society Road No. 2, Banjara Hills Hyderabad –500 034 (Telangana)","Sanzyme Biologics Pvt. Ltd. Plot No. 13, Sagar Society Road No. 2, Banjara Hills Hyderabad –500 034 (Telangana)","Unit I, Gagan Pahad, BangaloreRoad, Hyderabad, Telangana andPlot No. 19 to 22, Phase– III, Genome Valley,",31.03.2025
163,1303.,TU/IV-RD/4320,Crenza Pharmaceuticals Pvt.,"Ltd. A-27P, APIE,Balanagar, Hyderabad – 500 037, Telangana","Crenza Pharmaceuticals Pvt. Ltd. A-27P, APIE,Balanagar, Hyderabad – 500 037, Telangana","A-27P,APIE,Balanagar, Hyderabad, Telangana",31.03.2026
163,1310.,TU/IV-RD/4333,Ravi Hybrid Seeds Pvt.,"Ltd. H. No. 3-5-839/6, 2ndFloor, Flat No. 202, L.R. Plaza,Hyderguda, Hyderabad – 500 029,(Telangana)","Ravi Hybrid Seeds Pvt. Ltd. H. No. 3-5-839/6, 2ndFloor, Flat No. 202, L.R. Plaza,Hyderguda, Hyderabad – 500 029,(Telangana)","Survey No. 1619-1621,1634-1636 & 1638,Sujathanagar (Vill. & Mandal),Bhadradri Kothgudem(Dist.),(Telangana)",31.03.2027
164,1318.,TU/IV-RD/4341,Innovare Labs Pvt.,"Ltd. Plot No. 64, Road No. 5 ALEAP Industrial Estate Gajularamaram, Pragathi Nagar Hyderabad – 500090, Telangana","Innovare Labs Pvt. Ltd. Plot No. 64, Road No. 5 ALEAP Industrial Estate Gajularamaram, Pragathi Nagar Hyderabad – 500090, Telangana","Plot No. 64, Road No. 5, 1st & 3rd Floors, ALEAP IndustrialEstate, Gajularamaram, Pragathi Nagar,Hyderabad,Telangana",31.03.2026
165,1326.,TU/IV-RD/4357,"Laxai Life Sciences Private Limited Building 900, MN Park, Synergy Square I, Genome Valley, Turkapally, Shameerpet, Hyderabad - 500 078,(Telangana)",,"Laxai Life Sciences Private Limited Building 900, MN Park, Synergy Square I, Genome Valley, Turkapally, Shameerpet, Hyderabad - 500 078,(Telangana)","Building 900, MN Park, Synergy Square I, Genome Valley,Turkapally, Shameerpet, Hyderabad, (Telangana)",31.03.2027
167,1339.,TU/IV-RD/4382,Jisnu Communications Pvt.,"Ltd. 8-2-120/86/9/B, 2nd Floor Luxor Park, Road No. 2 Banjara Hills Hyderabad – 500 034(Telangana)","Jisnu Communications Pvt. Ltd. 8-2-120/86/9/B, 2nd Floor Luxor Park, Road No. 2 Banjara Hills Hyderabad – 500 034(Telangana)","8-2-120/86/9/B, 2nd Floor, Luxor Park, Road No. 2 Banjara Hills, Hyderabad, (Telangana)",31.03.2027
167,1344.,TU/IV-RD/4387,LokeshMachines Ltd.,"B-29,E.E.I.E.Stage-IIBalanagar Hyderabad –","LokeshMachines Ltd.B-29,E.E.I.E.Stage-IIBalanagar Hyderabad –","B - 25, E.E.I.E. Satge - II,Balanagar,Hyderabad (Telangana)",31.03.2027
169,1360.,TU/IV-RD/4409,Dhanvi Agri Genetics Pvt.,"Ltd. Plot No. 225/226, NCL North AvenueKompally, Quthubullapur (Mandal) Hyderabad – 500 100Telangana","Dhanvi Agri Genetics Pvt. Ltd. Plot No. 225/226, NCL North AvenueKompally, Quthubullapur (Mandal) Hyderabad – 500 100Telangana","Sy No. 85/A, 85/AA,Dabilpur (Village & Mandal) Malkajgiri - Medchal Dist., Telangana",31.03.2027
170,1367.,TU/IV-RD/4421,Jodas Expoim Pvt.,"Ltd. 3rd Floor, NSL Centrum, Plot No. S-1, Sy No. 1043 & 1048, KPHB Phase-3,Kukatpally, Hyderabad – 500 072, (Telangana)","Jodas Expoim Pvt. Ltd. 3rd Floor, NSL Centrum, Plot No. S-1, Sy No. 1043 & 1048, KPHB Phase-3,Kukatpally, Hyderabad – 500 072, (Telangana)","Plot No. 55 & 45, TSIIC,Biotech Park, Phase 3, Karkapatla,Markook Mandal, Siddipet Dist., (Telangana)",31.03.2027
170,1369.,TU/IV-RD/4427,Bio-Pharma LaboratoriesPvt.,"Ltd.104 B&C, Sri S.V. Co.,Op. Credit Society, IDA, Bollaram,Jinnaram(M),Sangareddy(DT),","Bio-Pharma LaboratoriesPvt.Ltd.104 B&C, Sri S.V. Co.,Op. Credit Society, IDA, Bollaram,Jinnaram(M),Sangareddy(DT),","Plot No. 104 B&C, Sri S.V. Co. Op. Credit Society, IDA, Bollaram, Jinnaram(M), Sangareddy(Dt), Hyderabad (Telangana)",31.03.2027
171,1370.,TU/IV-RD/4429,Ecoled ILLuminations Pvt.,"Ltd. Plot NO. 188/A, Phase-II,IDA, Cherlapally, Hyderabad –500 051, Telangana","Ecoled ILLuminations Pvt. Ltd. Plot NO. 188/A, Phase-II,IDA, Cherlapally, Hyderabad –500 051, Telangana","3rd Floor, Plot No. 188/A, Phase-II, IDA, Cherlapally, Hyderabad – 500 051, Telangana",31.03.2027
172,1382.,TU/IV-RD/4448,Shinex UQ Genetic Seeds Pvt.,"Ltd. Sy. No. 94, VSS Nandadeep Plots, Plot No. 302, 3rd Floor, Beside Suraksha Hospital, Pet Basheerbad, Hyderabad, Rangareddy– 500 055 (Telangana)","Shinex UQ Genetic Seeds Pvt. Ltd. Sy. No. 94, VSS Nandadeep Plots, Plot No. 302, 3rd Floor, Beside Suraksha Hospital, Pet Basheerbad, Hyderabad, Rangareddy– 500 055 (Telangana)","Sy. No. 94, VSSNandadeep Plots, Plot No. 303, 3rd Floor, Beside Suraksha Hospital, Pet Basheerbad, Rangareddy, Hyderabad (Telangana)",31.03.2027
173,1389.,TU/IV-RD/4458,Tierra Agrotech Ltd.,"(FormerlyTierra AgrotechPvt.Ltd.) 1stFloor,Sravana Complex,Kamalapuri Colony Lane, Next to LV PrasadHospital,Road No.2, BanjaraHills Hyderabad–500034Telangana","Tierra Agrotech Ltd. (FormerlyTierra AgrotechPvt.Ltd.) 1stFloor,Sravana Complex,Kamalapuri Colony Lane, Next to LV PrasadHospital,Road No.2, BanjaraHills Hyderabad–500034Telangana","(i) Survey No. 708, Dabilpur (V), Medchal Mandal,Hyderabad (Telangana) (ii) Survey No. 507, Village: Kondakal, MandalShankarpally, District Ranga Reddy, (Telangana)",31.03.2027
174,1395.,TU/IV-RD/4465,Hi-Yield Agri-Genetics Pvt.,"Ltd. #8-2-293/82/A/714 & 714/1, 3rd Floor, “Silver Square”, Road No. 36, Jubilee Hills, Hyderabad – 500033, (Telangana)","Hi-Yield Agri-Genetics Pvt. Ltd. #8-2-293/82/A/714 & 714/1, 3rd Floor, “Silver Square”, Road No. 36, Jubilee Hills, Hyderabad – 500033, (Telangana)","Sy. No. 782, 782/1,2,3 &779/A, Village: Nuthankal, Mandal-Medchal, Ranga Reddy Dist., (Telangana)",31.03.2028
174,1401.,TU/IV-RD/4479,Tripura Bio-Tech Ltd.,"1-5-1015,Vaishnavi Bhawan, Father Balaiah Nagar, Manjeera Colony,Old Alwal, Secunderabad, Telangana – 500 010","Tripura Bio-Tech Ltd. 1-5-1015,Vaishnavi Bhawan, Father Balaiah Nagar, Manjeera Colony,Old Alwal, Secunderabad, Telangana – 500 010","Sy.No.29A,Thallasingaram(Vill.), Choutuppal,Yadadri Bhongir, Telangana",31.03.2025
175,1409.,TU/IV-RD/4492,Invicta Agritech India Pvt.,"Ltd. 5-31, Flat No. 301, Agri Nivas,Mahalakshmi Layout,Dulaplly, Secunderabad – 500 100 (Telangana)","Invicta Agritech India Pvt. Ltd. 5-31, Flat No. 301, Agri Nivas,Mahalakshmi Layout,Dulaplly, Secunderabad – 500 100 (Telangana)","SurveyNo.931, Pullalacheruvu, Prakasam District, (Andhra Pradesh)",31.03.2028
176,1418.,TU/IV-RD/4503,Nucleome Informatics Pvt.,"Ltd. , 2nd Floor, 3 Cube Towers, 2-93/8&9, White Field Road, Hitech City, Hyderabad – 500081, (Telangana)","Nucleome Informatics Pvt. Ltd. , 2nd Floor, 3 Cube Towers, 2-93/8&9, White Field Road, Hitech City, Hyderabad – 500081, (Telangana)","2nd Floor, 3 Cube Towers, 2-93/8&9, White Field Road, Hitech City, Hyderabad (Telangana)",31.03.2027
177,1429.,TU/IV-RD/4520,Avantari Technologies Pvt.,"Ltd. Plot No. 185, Road No. 76, Jubilee Hills, Hyderabad – 500033, Telangana","Avantari Technologies Pvt. Ltd. Plot No. 185, Road No. 76, Jubilee Hills, Hyderabad – 500033, Telangana","Plot No. 185, Road No. 76, Jubilee Hills, Hyderabad (Telangana)",31.03.2025
178,1434.,TU/IV-RD/4525,RenewableEnergy Systems Ltd.,"Plot No. D-13, I.D.A Phase-V,Jeedimetla, Hyderabad – 500 055, (Telangana)","RenewableEnergy Systems Ltd. Plot No. D-13, I.D.A Phase-V,Jeedimetla, Hyderabad – 500 055, (Telangana)","Plot No. D-13, I.D.A, Phase-V, Jeedimetla, Hyderabad (Telangana)",31.03.2027
178,1436.,TU/IV-RD/4527,GOCL Corporation Ltd.,"IDL Road, Kukatpally, Hyderabad – 500 072,Telangana","GOCL Corporation Ltd. IDL Road, Kukatpally, Hyderabad – 500 072,Telangana","R&DDepartment, Energetics Division, IDL Road,Kukatpally,Hyderabad, Telangana",31.03.2025
179,1441.,TU/IV-RD/4533,Aodh Lifesciences Pvt.,"Ltd. 2nd Floor, 12-5-32/8, Vijayapuri,Tarnaka, Secunderabad – 500017(Telangana)","Aodh Lifesciences Pvt. Ltd. 2nd Floor, 12-5-32/8, Vijayapuri,Tarnaka, Secunderabad – 500017(Telangana)","2nd Floor, 12-5-32/8, Vijayapuri,Tarnaka, Secunderabad, Telangana",31.03.2028
179,1444.,TU/IV-RD/4536,Oncosimis Biotech Pvt.,"Ltd. LIG, Block 38, Flat 7, Beghlinghampalli,Hyderabad – 500044, (Telangana)","Oncosimis Biotech Pvt. Ltd. LIG, Block 38, Flat 7, Beghlinghampalli,Hyderabad – 500044, (Telangana)","Plot No. 3, Genpact Road, IDA Uppal, Habsiguda, Hyderabad (Telangana)",31.03.2028
181,1459.,TU/IV-RD/4563,Biofac Inputs Pvt.,"Ltd.S. No. 81-84, Plot No.74C, Anrich Industrial Estate, Bollaram Village, JinnaramMandal,Sangareddy District – 502 325, (Telangana)","Biofac Inputs Pvt. Ltd.S. No. 81-84, Plot No.74C, Anrich Industrial Estate, Bollaram Village, JinnaramMandal,Sangareddy District – 502 325, (Telangana)","S. No. 81-84, Plot No. 74C,Anrich Industrial Estate, Bollaram Village, Jinnaram Mandal,Sangareddy District (Telangana)",31.03.2028
182,1467.,TU/IV-RD/4574,My Seeds Pvt.,"Ltd. S. No. 88/A. A.A.E, 5th Floor, Flat No. – 513& 514, NCLGanga Plaza, Pet Basheerbad, Jeedimetla (Vill), Medchal District –500 067, Hyderabad, (Telangana)","My Seeds Pvt. Ltd. S. No. 88/A. A.A.E, 5th Floor, Flat No. – 513& 514, NCLGanga Plaza, Pet Basheerbad, Jeedimetla (Vill), Medchal District –500 067, Hyderabad, (Telangana)","Survey No. – 410/A/1, 410/3/1, 410/E, 410/E/3,414/1/4, 414/1/2, 414/A,410, Kanukunta (Vill), Gummadidala (Mandal), Medak (Dist) (Telangana)",31.03.2028
184,1483.,TU/IV-RD/4598,Max Agri-Genetics Pvt.,"Ltd. Flat # 402, Plot # 159, Road # 22, Sardar Patel Nagar, Hydernagar, Kukatpally,Medchal Malkajgiri – 500 085,(Telangana)","Max Agri-Genetics Pvt. Ltd. Flat # 402, Plot # 159, Road # 22, Sardar Patel Nagar, Hydernagar, Kukatpally,Medchal Malkajgiri – 500 085,(Telangana)","Survey No. 122, 138 & 139, Dulapally(V), Gandimaisamma, Dundigal (M),MedchalMalkajgiri Dist. (Telangana)",31.03.2028
184,1485.,TU/IV-RD/4600,Srikar Biotech Pvt.,"Ltd.Plot No.:A11 &A12/1, IDANacharam,Uppal, Medchal-Malkajgiri(Dt), Telangana - 500 076","Srikar Biotech Pvt. Ltd.Plot No.:A11 &A12/1, IDANacharam,Uppal, Medchal-Malkajgiri(Dt), Telangana - 500 076","(i) Plot No.:A11 &A12/1, IDA Nacharam, Uppal, Medchal-Malkajgiri (Dt), Telangana - 500 076 (ii) Keesara Dayara Village, Keesara to Shameerpet Road, Keesara Mandal, Medchal-Malkajgiri District(Telangana)",31.03.2026
186,1503.,TU/IV-RD/4628,SynergeneActive Ingredients Pvt.,"Ltd. Flat No. 402, Bhanu Enclave, Sunder Nagar, Erragadda, Hyderabad -500 038, Telangana","SynergeneActive Ingredients Pvt. Ltd. Flat No. 402, Bhanu Enclave, Sunder Nagar, Erragadda, Hyderabad -500 038, Telangana","Plot No. 48/B, Survey No. 337/P SVCIE, Bachupally Village, Bachupally Mandal, MedchalDistrict, Hyderabad",31.03.2026
188,1521.,TU/IV-RD/4651,Daewoong Pharmaceutical(India) Pvt.,"Ltd. Plot No. 5A, A.P.I.I.C., I.E., Parshanth Nagar,Kukatpally(V), Hyderabad,Kukatpally (M),Medchal-Malkajgiri (District)-500072,Telangana","Daewoong Pharmaceutical(India) Pvt. Ltd. Plot No. 5A, A.P.I.I.C., I.E., Parshanth Nagar,Kukatpally(V), Hyderabad,Kukatpally (M),Medchal-Malkajgiri (District)-500072,Telangana","Plot No. 5A, A.P.I.I.C., I.E.,ParshanthNagar, Kukatpally (V), Hyderabad, Kukatpally (M), Medchal-Malkajgiri(District), Telangana",31.03.2026
188,1522.,TU/IV-RD/4652,SMS Lifesciences India Ltd.,"Plot No. 19-III, Manikantha Towers, Opp.B.V.B.P.School,Road No.71,JubileeHills,Hyderabad - 500 096, (Telangana)","SMS Lifesciences India Ltd. Plot No. 19-III, Manikantha Towers, Opp.B.V.B.P.School,Road No.71,JubileeHills,Hyderabad - 500 096, (Telangana)","Plot No. C-23, Industrial Estate,Sanathnagar, Hyderabad, (Telangana)",31.03.2026
