source_table_index,S. No.,Recognition Number,Company Name,Company Address,Name & Address of the Company,Location of recognized In-House R&D Units,Valid Upto
46,362.,TU/IV-RD/2162,Nuziveedu Seeds Ltd.,"SurveyNo.69, Kandlakoya,Medchal Mandal, Gundlapochampally Village, Medchal Madal, Medchal&Malkajgiri District–500100, (Telangana)","Nuziveedu Seeds Ltd. SurveyNo.69, Kandlakoya,Medchal Mandal, Gundlapochampally Village, Medchal Madal, Medchal&Malkajgiri District–500100, (Telangana)","Research Farms at Dabilpur and Yellampet, Medchal Mandal, Medchal & Malkajgiri District (Telangana)Conventional & Biotechnology Lab, Survey No.69,Kandlakoya, Medchal Mandal, Gundlapochampally (Village),Medchal& MalkajgiriDistrict (Telangana) (iii) Gut No. 107, Jalgaon Road, H.P. SawangiTal/Dist. Aurangabad, (Maharashtra)(iv) Survey No. 48, 50 & 51, Muneerabad (Village & Grampanchayat), Puduru (Post), Medchal (Mandal), Medchal & MalkajgiriDistrict, (Telangana)",31.03.2028
48,371.,TU/IV-RD/2186,Lee Pharma Ltd.,"Sy. No. 257 & 258/1, Door No.11-6/56,C-Block, Opp. IDPL Factory, Moosapet Vill., Balanagar Post, Hyderabad - 500 037, Telangana","Lee Pharma Ltd. Sy. No. 257 & 258/1, Door No.11-6/56,C-Block, Opp. IDPL Factory, Moosapet Vill., Balanagar Post, Hyderabad - 500 037, Telangana","(i) Survey No.10/G-1, Gaddapotharam (Vill.), Jinnaram (Mandal), Medak District, Telangana(ii) Plot No –V, Phase –II, Visakapatnam Special Economic Zone (VSEZ), Duvvada, Visakhapatnam,Andhra Pradesh",31.03.2026
48,374.,TU/IV-RD/2195,Radiant Corporation Pvt.,"Ltd. B-1, Industrial Estate, Sanathnagar, Hyderabad- 500 018,(Telangana)","Radiant Corporation Pvt. Ltd. B-1, Industrial Estate, Sanathnagar, Hyderabad- 500 018,(Telangana)","Plot No. 19/B, TSIIC,AutomotivePark, Muppireddypally (Village), Manaoharabad Mandal,Medak District (Telangana)",31.03.2028
49,377.,TU/IV-RD/2201,Kaveri Seed Company Ltd.,"#513-B, 5thFloor, Minerva Complex,S.D.Road,Secunderabad - 500 003, (Telangana)","Kaveri Seed Company Ltd.#513-B, 5thFloor, Minerva Complex,S.D.Road,Secunderabad - 500 003, (Telangana)","Sy. No. 703 Part, 707 Part,712 Part, 713 to 719,PamulaparthyVillage, Markook Mandal, Siddipet Dist., (Telangana)",31.03.2028
49,379.,TU/IV-RD/2208,Pravardhan Seeds Pvt.,"Ltd.SurveyNo.69, Second Floor, Block B, Kandlakoya, Gundlapochampally, Municipality,MedchalRangareddy Distt – 500 100, (Telangana)","Pravardhan Seeds Pvt. Ltd.SurveyNo.69, Second Floor, Block B, Kandlakoya, Gundlapochampally, Municipality,MedchalRangareddy Distt – 500 100, (Telangana)","R&D Farm, Parigi, Sy. No.185, 190, 198A,Mallamoniguda Village Road,Vikarabad, (Telangana)",31.03.2028
49,382.,TU/IV-RD/2216,Flic Microwaves Pvt.,"Ltd.Survey No. 75/2, Belapur(V), Balapur(M), Beside ARCI, Hyderabad- 500 005, Telangana","Flic Microwaves Pvt. Ltd.Survey No. 75/2, Belapur(V), Balapur(M), Beside ARCI, Hyderabad- 500 005, Telangana","Survey No. 75/2, Balapur(V), Balapur(M), Beside ARCI, Hyderabad - 500 005, Telangana",31.03.2026
49,383.,TU/IV-RD/2218,Suven Life Sciences Ltd.,"Serene Chamber, Road No. 5, Banjara Hills,Hyderabad – 500034, (Telangana)","Suven Life Sciences Ltd. Serene Chamber, Road No. 5, Banjara Hills,Hyderabad – 500034, (Telangana)","i) Plot No. 265, 266, 267 &268IDA,PhaseII,Pashamylaram, Pattancheru Mandal, Medak District, (Telangana) (ii) Plot No.18/B,PhaseIII,IDAJeedimetlaHyderabad, (Telangana)",31.03.2027
51,393.,TU/IV-RD/2248,PrabhatAgriBiotech Ltd.,"Survey No.69,Kandlakoya, Gundlapochampally Village, Medchal Mandal, Medchal-Malkajgiri District- 501 401, Telangana","PrabhatAgriBiotech Ltd.Survey No.69,Kandlakoya, Gundlapochampally Village, Medchal Mandal, Medchal-Malkajgiri District- 501 401, Telangana","Survey No.142, Kandlakoya Vill., Medchal Mandal, Medchal -Malkajgiri District, Telangana",31.03.2026
54,417.,TU/IV-RD/2312,Dr.,"Reddy'sLaboratories Ltd. 8-2-337, Road No. 3, Banjara Hills, Hyderabad – 500 034 (Telangana)","Dr.Reddy'sLaboratories Ltd. 8-2-337, Road No. 3, Banjara Hills, Hyderabad – 500 034 (Telangana)","(i) IPDO, Survey No. 42, 45& 46 plus 54 Bachupalli, (Telangana) (ii) Technology Development Centre 2 (Custom Pharmaceutical Services), Plot No. 31/A, IDA Jeedimetla, Hyderabad, (Telangana) (iii) Biologics Development Centre (BDC), Survey No. 47, Bachupalli, Medchal-Malkajgiri District,(Telangana)",31.03.2028
55,428.,TU/IV-RD/2347,VirchowLaboratories Ltd.,"Plot No. 4 to 10,S.V. Co-op. Indl. Estate, IDA,Jeedimetla,Hyderabad-500055 (Telangana)","VirchowLaboratories Ltd.Plot No. 4 to 10,S.V. Co-op. Indl. Estate, IDA,Jeedimetla,Hyderabad-500055 (Telangana)","Plot No. 4 to 10, S.V. Co-op. Indl. Estate, IDA, Jeedimetla, Hyderabad, Telangana",31.03.2026
